,0,1,2,3,granger_scores
7941,Stat3,Ccnd1,Repression,19880237;22313388,51.828644
7942,Stat3,Ccnd1,Unknown,12147685;15469392;16384639;16510571;18184402;20332458;21172343;21344490,51.828644
7943,Stat3,Ccnd2,Unknown,12147685,81.46497
7948,Stat3,Cdkn1a,Activation,10023678;15286705,-36.82203
7949,Stat3,Cdkn1a,Unknown,16923815;18320073;20654581,-36.82203
7950,Stat3,Cdkn1b,Unknown,18320073,75.42626
7952,Stat3,Cflar,Unknown,18222423,34.79019
7964,Stat3,Ddit3,Repression,23288901,70.31283
7971,Stat3,Etv6,Activation,15229229,44.30421
7982,Stat3,Fos,Activation,12600988;14737107;17204573,-112.55155
7983,Stat3,Gast,Activation,20568281,-57.09535
7984,Stat3,Gast,Unknown,20949125,-57.09535
7997,Stat3,Hspb1,Activation,14715258,-55.73921
7998,Stat3,Icam1,Unknown,23690481;8675499,51.914764
8001,Stat3,Ikbke,Activation,22330135,42.23699
8016,Stat3,Junb,Activation,17204573,75.853035
8017,Stat3,Klf11,Activation,18505768,-104.61767
8018,Stat3,Krt17,Activation,21796151,127.555786
8021,Stat3,Lgals3bp,Repression,18594176,-89.24444
8039,Stat3,Muc4,Activation,18573283,-32.339497
8040,Stat3,Muc4,Unknown,15485908,-32.339497
8045,Stat3,Myd88,Unknown,12244150,95.549225
8048,Stat3,Nme1,Activation,23583378,-39.132587
8060,Stat3,Pim1,Activation,22273698,26.265383
8061,Stat3,Pim1,Unknown,10068671,26.265383
8066,Stat3,Pros1,Unknown,16840717,-73.50441
8083,Stat3,Stat1,Activation,22693070,73.01938
8099,Stat3,Ucp2,Repression,21344490,-40.35287
8135,Stat5b,Ccnd1,Unknown,14645506,-37.323654
8136,Stat5b,Cel,Unknown,9841868,55.544422
8190,Taf1,Cdkn1a,Activation,17996705,-83.04976
8258,Tcf3,Cdkn1a,Activation,15856770;23684607,54.48274
8259,Tcf3,Cdkn1a,Unknown,19125693,54.48274
8310,Tead1,Msln,Activation,17909009,9.103379
8460,Tnfaip3,Jun,Repression,19124729,-71.870056
8461,Tnfaip3,Nfkb1,Repression,19124729,22.94303
8462,Tnfaip3,Nfkb1,Unknown,24039598,22.94303
8465,Tnfaip3,Satb1,Unknown,24039598,44.330585
8727,Trrap,Ccnd2,Activation,11511535,-71.65441
9097,Xbp1,Ccl2,Unknown,16931790,127.27083
9099,Xbp1,Ddit3,Unknown,17455323,129.23354
9101,Xbp1,Ern1,Unknown,20513357,81.2217
9105,Xbp1,Hspa1a,Unknown,17404501,-99.292755
9111,Xbp1,Prnp,Unknown,23737521,90.622475
9113,Xbp1,Sod2,Unknown,17192397,123.24456
9117,Xpc,Casp2,Repression,22174370,76.32337
9120,Xpc,Rnf111,Repression,23751493,187.87267
9150,Ybx1,Mnat1,Repression,20596676,70.19669
9153,Ybx1,Rbbp8,Repression,20596676,-50.301117
9157,Ybx1,Top2a,Unknown,10597187,39.695057
9277,Zbtb17,Cdkn1a,Repression,16142238,-52.525787
9278,Zbtb17,Cdkn1a,Unknown,22000024,-52.525787
9313,Zfhx3,Cdkn1a,Activation,14978340;15750593;20599712,112.30741
